YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M,AOD,Timestamp,PM2.5
2019,1,1,0,9.36,28.93,0.0,97.24,2.14,11.3,0.205800638,2019-01-01 00:00:00,60.69
2019,1,1,1,8.9,30.24,0.0,97.22,2.13,12.7,0.205127046,2019-01-01 01:00:00,56.6
2019,1,1,2,8.58,31.03,0.0,97.19,2.07,17.4,0.202401325,2019-01-01 02:00:00,43.72
2019,1,1,3,8.42,31.36,0.0,97.15,1.98,22.6,0.198864788,2019-01-01 03:00:00,12.69
2019,1,1,4,8.72,30.72,0.0,97.12,1.74,27.5,0.195900083,2019-01-01 04:00:00,48.19
2019,1,1,5,9.0,30.02,0.0,97.15,1.27,30.8,0.194461316,2019-01-01 05:00:00,44.55
2019,1,1,6,9.9,28.27,0.0,97.21,0.71,37.5,0.240100831,2019-01-01 06:00:00,45.14
2019,1,1,7,11.07,26.64,0.0,97.28,0.35,110.0,0.242554873,2019-01-01 07:00:00,44.67
2019,1,1,8,13.88,23.05,0.0,97.34,0.87,156.4,0.243771672,2019-01-01 08:00:00,66.71
2019,1,1,9,17.29,17.58,0.0,97.35,1.36,158.4,0.234899551,2019-01-01 09:00:00,65.18
2019,1,1,10,21.85,11.68,0.0,97.29,1.38,177.9,0.236294493,2019-01-01 10:00:00,47.56
2019,1,1,11,23.77,9.54,0.0,97.18,1.3,212.7,0.236824259,2019-01-01 11:00:00,174.38
2019,1,1,12,24.81,8.61,0.0,97.07,1.4,229.9,0.236922532,2019-01-01 12:00:00,105.58
2019,1,1,13,25.19,8.26,0.0,96.99,1.2,239.4,0.238289461,2019-01-01 13:00:00,70.12
2019,1,1,14,25.03,8.29,0.0,96.94,0.91,252.8,0.249010831,2019-01-01 14:00:00,50.55
2019,1,1,15,24.09,9.33,0.0,96.92,0.47,272.4,0.270121634,2019-01-01 15:00:00,47.11
2019,1,1,16,20.83,15.11,0.0,96.95,0.74,63.4,0.295250714,2019-01-01 16:00:00,46.59
2019,1,1,17,17.66,16.03,0.0,97.0,1.79,73.5,0.320399851,2019-01-01 17:00:00,46.62
2019,1,1,18,15.18,20.14,0.0,97.06,2.46,78.7,0.335297346,2019-01-01 18:00:00,52.53
