YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M,AOD,Timestamp,PM2.5
2019,1,1,0,7.38,50.91,0.0,99.8,2.74,343.0,0.33811456,2019-01-01 00:00:00,
2019,1,1,1,6.79,52.52,0.0,99.78,2.68,341.7,0.339388639,2019-01-01 01:00:00,
2019,1,1,2,6.4,52.93,0.0,99.75,2.56,339.9,0.343188614,2019-01-01 02:00:00,
2019,1,1,3,6.12,52.93,0.0,99.71,2.44,336.6,0.345810205,2019-01-01 03:00:00,
2019,1,1,4,5.98,52.4,0.0,99.68,2.3,330.3,0.34339118,2019-01-01 04:00:00,
2019,1,1,5,5.91,51.46,0.0,99.69,2.16,322.3,0.339329302,2019-01-01 05:00:00,
2019,1,1,6,5.69,51.24,0.0,99.75,2.13,311.6,0.540105164,2019-01-01 06:00:00,
2019,1,1,7,6.85,52.5,0.0,99.85,1.93,301.6,0.542055607,2019-01-01 07:00:00,
2019,1,1,8,10.23,40.75,0.0,99.92,2.19,294.6,0.544600189,2019-01-01 08:00:00,
2019,1,1,9,12.95,34.58,0.0,99.95,1.5,290.2,0.439244717,2019-01-01 09:00:00,
2019,1,1,10,17.45,26.12,0.0,99.88,1.22,283.8,0.444597721,2019-01-01 10:00:00,
2019,1,1,11,21.18,18.33,0.0,99.76,1.79,285.2,0.446959227,2019-01-01 11:00:00,
2019,1,1,12,22.2,17.26,0.0,99.67,1.76,285.9,0.446815044,2019-01-01 12:00:00,
2019,1,1,13,22.51,17.11,0.0,99.61,1.65,292.8,0.44311592,2019-01-01 13:00:00,
2019,1,1,14,22.23,17.93,0.0,99.56,1.44,313.3,0.43382293,2019-01-01 14:00:00,
2019,1,1,15,20.55,32.04,0.0,99.55,1.2,352.3,0.428691417,2019-01-01 15:00:00,
2019,1,1,16,16.96,36.42,0.0,99.58,2.05,21.2,0.432395905,2019-01-01 16:00:00,
2019,1,1,17,14.01,39.15,0.0,99.63,2.65,30.8,0.443015873,2019-01-01 17:00:00,
2019,1,1,18,12.4,43.18,0.0,99.67,2.96,35.9,0.469260573,2019-01-01 18:00:00,
2019,1,1,19,11.38,45.83,0.0,99.68,3.14,41.5,0.488993019,2019-01-01 19:00:00,
2019,1,1,20,10.63,47.05,0.0,99.67,3.09,48.4,0.507434726,2019-01-01 20:00:00,
2019,1,1,21,10.19,47.68,0.0,99.66,2.95,56.0,0.504523516,2019-01-01 21:00:00,
2019,1,1,22,9.73,48.63,0.0,99.64,2.9,67.7,0.49287048,2019-01-01 22:00:00,
2019,1,1,23,9.38,49.51,0.0,99.62,2.8,80.3,0.467778057,2019-01-01 23:00:00,
2019,1,2,0,9.61,50.22,0.0,99.64,2.57,94.0,0.458214223,2019-01-02 00:00:00,
2019,1,2,1,9.22,51.83,0.0,99.63,2.57,109.3,0.460062712,2019-01-02 01:00:00,
2019,1,2,2,8.94,53.37,0.0,99.61,2.52,122.2,0.465095401,2019-01-02 02:00:00,
2019,1,2,3,8.65,54.27,0.0,99.59,2.35,132.9,0.468674392,2019-01-02 03:00:00,
2019,1,2,4,8.13,54.6,0.0,99.59,2.23,139.7,0.469410449,2019-01-02 04:00:00,
2019,1,2,5,7.63,54.68,0.0,99.62,2.06,146.5,0.470653534,2019-01-02 05:00:00,
2019,1,2,6,7.63,54.42,0.0,99.7,1.7,153.4,0.730675101,2019-01-02 06:00:00,
2019,1,2,7,8.68,53.99,0.0,99.8,1.2,149.0,0.736812294,2019-01-02 07:00:00,
2019,1,2,8,11.02,47.41,0.0,99.9,1.2,124.5,0.732894897,2019-01-02 08:00:00,
2019,1,2,9,13.6,40.64,0.0,99.94,1.22,106.2,0.897678733,2019-01-02 09:00:00,
2019,1,2,10,17.08,32.65,0.0,99.91,1.47,137.8,0.863049209,2019-01-02 10:00:00,
2019,1,2,11,19.62,28.16,0.0,99.81,1.92,148.9,0.816603482,2019-01-02 11:00:00,
2019,1,2,12,21.76,24.17,0.0,99.7,2.16,151.2,0.771460712,2019-01-02 12:00:00,
2019,1,2,13,22.35,23.35,0.0,99.62,1.94,151.3,0.743403018,2019-01-02 13:00:00,
2019,1,2,14,21.97,24.68,0.0,99.59,1.55,149.8,0.729575932,2019-01-02 14:00:00,
2019,1,2,15,20.28,37.01,0.0,99.6,1.11,131.7,0.726806164,2019-01-02 15:00:00,
2019,1,2,16,18.26,34.63,0.0,99.62,1.39,105.4,0.72881192,2019-01-02 16:00:00,
2019,1,2,17,16.74,35.29,0.0,99.66,1.58,88.9,0.733127236,2019-01-02 17:00:00,
2019,1,2,18,15.91,36.7,0.0,99.72,1.6,73.3,0.735324144,2019-01-02 18:00:00,
2019,1,2,19,14.93,38.91,0.0,99.77,1.5,52.3,0.73943013,2019-01-02 19:00:00,
2019,1,2,20,13.97,41.01,0.0,99.78,1.49,28.5,0.744011045,2019-01-02 20:00:00,
2019,1,2,21,13.18,42.54,0.0,99.78,1.7,9.5,0.740476429,2019-01-02 21:00:00,
2019,1,2,22,12.21,44.66,0.0,99.77,2.04,358.3,0.727298975,2019-01-02 22:00:00,
2019,1,2,23,11.0,47.77,0.0,99.77,2.25,354.4,0.711623251,2019-01-02 23:00:00,
2019,1,3,0,9.89,50.81,0.0,99.8,2.4,349.7,0.69154042,2019-01-03 00:00:00,
2019,1,3,1,8.77,53.96,0.0,99.83,2.56,345.0,0.664372683,2019-01-03 01:00:00,
2019,1,3,2,7.86,56.8,0.0,99.83,2.59,341.6,0.634824932,2019-01-03 02:00:00,
2019,1,3,3,7.1,59.18,0.0,99.8,2.59,336.8,0.602348566,2019-01-03 03:00:00,
2019,1,3,4,6.33,61.73,0.0,99.81,2.65,329.2,0.568588018,2019-01-03 04:00:00,
2019,1,3,5,5.65,63.51,0.0,99.85,2.75,320.8,0.539246559,2019-01-03 05:00:00,
2019,1,3,6,5.09,64.8,0.0,99.9,2.86,314.3,1.02898073,2019-01-03 06:00:00,
2019,1,3,7,6.83,59.09,0.0,99.97,2.61,309.4,0.99135989,2019-01-03 07:00:00,
2019,1,3,8,10.15,46.69,0.0,100.03,3.59,305.8,0.934508801,2019-01-03 08:00:00,
