YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M,AOD,Timestamp,PM2.5
2019,1,1,0,10.74,40.7,0.0,100.12,1.56,351.9,0.373403162,2019-01-01 00:00:00,378.0
2019,1,1,1,9.92,42.86,0.0,100.11,1.81,344.7,0.365100175,2019-01-01 01:00:00,393.25
2019,1,1,2,8.83,45.97,0.0,100.08,1.96,344.3,0.361336857,2019-01-01 02:00:00,418.25
2019,1,1,3,8.1,47.84,0.0,100.04,1.98,346.6,0.358349651,2019-01-01 03:00:00,339.75
2019,1,1,4,7.78,48.13,0.0,100.03,1.81,347.9,0.355445981,2019-01-01 04:00:00,284.5
2019,1,1,5,7.57,47.92,0.0,100.05,1.46,347.3,0.351382703,2019-01-01 05:00:00,265.0
2019,1,1,6,8.1,45.8,0.0,100.12,1.02,338.2,0.435474366,2019-01-01 06:00:00,289.25
2019,1,1,7,9.09,46.76,0.0,100.21,0.74,309.5,0.44067499,2019-01-01 07:00:00,342.25
2019,1,1,8,11.12,41.82,0.0,100.29,0.86,280.7,0.444394231,2019-01-01 08:00:00,391.0
2019,1,1,9,13.77,35.85,0.0,100.31,0.78,263.3,0.351659805,2019-01-01 09:00:00,391.0
2019,1,1,10,18.01,27.71,0.0,100.23,0.72,227.8,0.3543365,2019-01-01 10:00:00,359.75
2019,1,1,11,22.04,19.38,0.0,100.11,0.98,238.7,0.355781794,2019-01-01 11:00:00,266.0
2019,1,1,12,23.3,17.66,0.0,100.01,1.05,252.8,0.357589036,2019-01-01 12:00:00,222.25
2019,1,1,13,23.64,17.18,0.0,99.94,1.01,270.0,0.36322844,2019-01-01 13:00:00,141.5
2019,1,1,14,23.4,17.64,0.0,99.89,0.91,295.4,0.368029386,2019-01-01 14:00:00,100.5
2019,1,1,15,22.19,26.75,0.0,99.88,0.68,344.7,0.37009722,2019-01-01 15:00:00,105.75
2019,1,1,16,19.42,28.9,0.0,99.91,1.35,34.4,0.372765362,2019-01-01 16:00:00,116.75
2019,1,1,17,16.69,30.62,0.0,99.96,2.07,51.9,0.380702585,2019-01-01 17:00:00,165.25
2019,1,1,18,14.82,35.29,0.0,99.99,2.56,63.3,0.396698713,2019-01-01 18:00:00,275.25
2019,1,1,19,13.41,38.88,0.0,100.0,2.8,73.4,0.425520211,2019-01-01 19:00:00,405.0
2019,1,1,20,12.37,40.84,0.0,99.99,2.89,85.4,0.458296388,2019-01-01 20:00:00,405.0
2019,1,1,21,11.45,43.04,0.0,99.98,2.95,98.8,0.491448104,2019-01-01 21:00:00,408.5
2019,1,1,22,10.52,45.78,0.0,99.97,3.05,110.5,0.504994035,2019-01-01 22:00:00,390.5
2019,1,1,23,9.62,48.61,0.0,99.95,3.17,121.3,0.498864084,2019-01-01 23:00:00,305.5
2019,1,2,0,8.91,51.28,0.0,99.96,3.22,131.9,0.486054301,2019-01-02 00:00:00,296.0
2019,1,2,1,8.85,53.18,0.0,99.96,3.07,142.3,0.478624046,2019-01-02 01:00:00,263.0
2019,1,2,2,8.37,55.8,0.0,99.95,2.94,149.8,0.477310181,2019-01-02 02:00:00,253.5
2019,1,2,3,8.15,57.81,0.0,99.93,2.73,155.8,0.47417897,2019-01-02 03:00:00,264.25
2019,1,2,4,7.69,60.11,0.0,99.94,2.58,161.5,0.466739386,2019-01-02 04:00:00,266.5
2019,1,2,5,6.72,64.1,0.0,99.97,2.55,167.1,0.460724473,2019-01-02 05:00:00,267.5
2019,1,2,6,6.15,67.74,0.0,100.04,2.45,173.9,0.606628537,2019-01-02 06:00:00,300.5
