latitude,longitude,WD10M,WS10M,PS,RH2M,T2M,blh,AOD,YEAR,MO,DY,HR
18,73.75,329.8,3.57,94.13,38.58,31.11,589.8925478,0.2849635,2025,5,1,1
18,75,347.1,3.97,94.62,24.16,33.57,1444.225943,0.29870656,2025,5,1,1
18,76.25,10.9,4.44,94.28,18.4,33.83,1282.913387,0.348997,2025,5,1,1
18,77.5,12.8,2.62,94.59,22.26,34.06,963.621717,0.4146403,2025,5,1,1
18,78.75,161.6,4.3,95.43,38.38,33.52,852.236305,0.5089447,2025,5,1,1
18,80,153.3,4.88,98.24,52.37,32.39,987.340475,0.5719533,2025,5,1,1
18,81.25,159.7,2.66,98.59,64.71,30.43,878.673805,0.41952312,2025,5,1,1
18,82.5,154.4,2.07,93.5,66.23,27.26,410.6738068,0.4219696,2025,5,1,1
18.5,73.75,325.4,3.87,93.81,38.39,30.67,900.7883825,0.2711085,2025,5,1,1
18.5,75,348.2,4.26,94.28,22.23,33.46,1896.496787,0.29071096,2025,5,1,1
18.5,76.25,1.4,4.86,93.95,18.08,33.62,1186.194637,0.34849346,2025,5,1,1
18.5,77.5,0.5,3.74,95.59,18.97,34.81,1030.038389,0.4218272,2025,5,1,1
18.5,78.75,158.1,4.41,96.33,34.99,34.49,968.017555,0.5082021,2025,5,1,1
18.5,80,153.1,5.15,98.59,49.31,33.07,950.444635,0.5458099,2025,5,1,1
18.5,81.25,174.1,2.27,97.14,63.08,29.76,795.611305,0.40343016,2025,5,1,1
18.5,82.5,157.3,2.57,92.28,61.04,27.19,622.8196314,0.36708882,2025,5,1,1
19,73.75,320.8,3.82,94.32,36.65,31.09,768.5487983,0.262088,2025,5,1,1
19,75,344.2,4.46,94.1,21.06,33.36,1586.361349,0.28265432,2025,5,1,1
19,76.25,353.2,4.89,94.91,17.21,34.47,1169.705054,0.35170797,2025,5,1,1
19,77.5,355.2,4.56,96.07,17.41,35.35,1114.069635,0.4235616,2025,5,1,1
19,78.75,149.5,4.44,96.74,33.45,34.93,845.5071383,0.4936198,2025,5,1,1
19,80,153.3,5.09,98.65,46.84,33.5,901.0904686,0.51344097,2025,5,1,1
19,81.25,180.2,2.25,95.44,61.81,29,729.2675558,0.39580587,2025,5,1,1
19,82.5,136.2,2.88,93.78,57.93,28.22,689.3404695,0.35027364,2025,5,1,1
19.5,73.75,318.2,3.89,94.45,34.72,31.32,820.1425478,0.25305226,2025,5,1,1
19.5,75,336.6,4.59,94.56,21.38,33.58,1361.090515,0.28029683,2025,5,1,1
19.5,76.25,345.8,5.22,95.47,16.69,35.02,1486.444688,0.34753215,2025,5,1,1
19.5,77.5,349.6,4.69,95.91,16.78,35.45,1185.163385,0.41192424,2025,5,1,1
19.5,78.75,145.9,4.39,96.86,32.6,35,948.0279717,0.46335652,2025,5,1,1
19.5,80,156.8,4.69,98.34,45,33.59,902.9967162,0.48633626,2025,5,1,1
19.5,81.25,177.9,2.35,94.76,58.57,29.06,798.3717231,0.39531758,2025,5,1,1
19.5,82.5,136.6,2.77,95.14,57.47,28.88,655.7988033,0.3538747,2025,5,1,1
20,73.75,311.9,4.03,94.3,33.81,31.08,885.8612992,0.24869333,2025,5,1,1
20,75,326.6,4.65,94.74,21.93,33.49,1346.757163,0.2790456,2025,5,1,1
20,76.25,335.7,5.27,94.81,17.63,34.26,1540.944688,0.33690184,2025,5,1,1
